,month,day,hour,ws
972,7,11,12,3.4
973,7,11,13,2.3
974,7,11,14,2.6
975,7,11,15,1.9
976,7,11,16,2.2
977,7,11,17,3.1
978,7,11,18,3.3
979,7,11,19,2.3
980,7,11,20,2.4
981,7,11,21,2.2
982,7,11,22,2.3
983,7,11,23,3.2
984,7,12,0,2.6
985,7,12,1,1.6
986,7,12,2,1.1
987,7,12,3,0.6
988,7,12,4,0.9
989,7,12,5,1.7
990,7,12,6,2.4
991,7,12,7,2.5
992,7,12,8,3.3
993,7,12,9,2.8
994,7,12,10,3.8
995,7,12,11,4.5
996,7,12,12,3.9
997,7,12,13,4.3
998,7,12,14,4.7
999,7,12,15,4.5
1000,7,12,16,3.4
1001,7,12,17,4.0
1002,7,12,18,2.8
1003,7,12,19,2.7
1004,7,12,20,2.1
1005,7,12,21,2.9
1006,7,12,22,2.7
1007,7,12,23,2.0
1008,7,13,0,2.6
1009,7,13,1,2.4
1010,7,13,2,3.4
1011,7,13,3,2.5
1012,7,13,4,3.5
1013,7,13,5,2.0
1014,7,13,6,2.7
1015,7,13,7,3.1
1016,7,13,8,1.3
1017,7,13,9,2.3
1018,7,13,10,3.5
1019,7,13,11,2.6
1020,7,13,12,2.8
1021,7,13,13,2.6
1022,7,13,14,2.5
1023,7,13,15,3.0
1024,7,13,16,2.5
1025,7,13,17,2.4
1026,7,13,18,1.7
1027,7,13,19,1.5
1028,7,13,20,2.3
1029,7,13,21,1.8
1030,7,13,22,1.6
1031,7,13,23,2.0
1032,7,14,0,1.5
1033,7,14,1,2.3
1034,7,14,2,1.0
1035,7,14,3,2.0
1036,7,14,4,2.7
1037,7,14,5,1.5
1038,7,14,6,2.5
1039,7,14,7,2.6
1040,7,14,8,1.2
1041,7,14,9,2.5
1042,7,14,10,3.5
1043,7,14,11,2.8
1044,7,14,12,2.8
1045,7,14,13,3.8
1046,7,14,14,3.5
1047,7,14,15,2.8
1048,7,14,16,3.2
1049,7,14,17,2.8
1050,7,14,18,2.4
1051,7,14,19,1.5
1052,7,14,20,1.5
1053,7,14,21,1.2
1054,7,14,22,1.6
1055,7,14,23,1.5
1056,7,15,0,1.8
1057,7,15,1,0.7
1058,7,15,2,1.3
1059,7,15,3,1.3
1060,7,15,4,0.0
1061,7,15,5,0.1
1062,7,15,6,0.8
1063,7,15,7,0.2
1064,7,15,8,0.4
1065,7,15,9,2.5
1066,7,15,10,2.8
1067,7,15,11,3.8
1068,7,15,12,4.5
1069,7,15,13,3.5
1070,7,15,14,3.4
1071,7,15,15,3.5
1072,7,15,16,3.7
1073,7,15,17,2.6
1074,7,15,18,1.2
1075,7,15,19,1.6
1076,7,15,20,0.9
1077,7,15,21,1.2
1078,7,15,22,1.8
1079,7,15,23,0.8
1080,7,16,0,1.6
1081,7,16,1,1.9
1082,7,16,2,1.8
1083,7,16,3,1.3
1084,7,16,4,2.2
1085,7,16,5,1.6
1086,7,16,6,2.6
1087,7,16,7,3.0
1088,7,16,8,3.9
1089,7,16,9,4.1
1090,7,16,10,3.5
1091,7,16,11,3.8
1092,7,16,12,5.2
1093,7,16,13,5.8
1094,7,16,14,5.0
1095,7,16,15,5.5
1096,7,16,16,4.9
1097,7,16,17,4.2
1098,7,16,18,2.8
1099,7,16,19,2.8
1100,7,16,20,2.7
1101,7,16,21,3.2
1102,7,16,22,1.6
1103,7,16,23,1.5
1104,7,17,0,2.9
1105,7,17,1,2.5
1106,7,17,2,2.5
1107,7,17,3,1.6
1108,7,17,4,1.1
1109,7,17,5,2.4
1110,7,17,6,2.3
1111,7,17,7,1.8
1112,7,17,8,2.0
1113,7,17,9,1.8
1114,7,17,10,3.1
1115,7,17,11,4.0
1116,7,17,12,3.7
1117,7,17,13,2.6
1118,7,17,14,1.5
1119,7,17,15,1.9
1120,7,17,16,2.3
1121,7,17,17,2.5
1122,7,17,18,2.4
1123,7,17,19,2.1
1124,7,17,20,1.8
1125,7,17,21,2.3
1126,7,17,22,2.9
1127,7,17,23,2.5
1128,7,18,0,3.2
1129,7,18,1,2.4
1130,7,18,2,2.9
1131,7,18,3,3.2
1132,7,18,4,3.3
1133,7,18,5,2.5
1134,7,18,6,2.4
1135,7,18,7,1.1
1136,7,18,8,2.7
1137,7,18,9,3.1
1138,7,18,10,3.0
1139,7,18,11,5.8
1140,7,18,12,6.0
1141,7,18,13,5.3
1142,7,18,14,3.7
1143,7,18,15,3.7
1144,7,18,16,3.6
1145,7,18,17,2.5
1146,7,18,18,2.1
1147,7,18,19,1.4
