,month,day,hour,precp
929,7,9,17,0.0
930,7,9,18,1.0
931,7,9,19,0.0
932,7,9,20,0.0
933,7,9,21,0.05
934,7,9,22,2.0
935,7,9,23,0.05
936,7,10,0,0.0
937,7,10,1,0.0
938,7,10,2,0.0
939,7,10,3,0.0
940,7,10,4,0.5
941,7,10,5,0.0
942,7,10,6,0.0
943,7,10,7,2.0
944,7,10,8,2.5
945,7,10,9,0.0
946,7,10,10,1.5
947,7,10,11,0.5
948,7,10,12,3.0
949,7,10,13,0.0
950,7,10,14,0.0
951,7,10,15,0.0
952,7,10,16,0.0
953,7,10,17,0.0
954,7,10,18,58.5
955,7,10,19,42.5
956,7,10,20,4.0
957,7,10,21,1.0
958,7,10,22,8.5
959,7,10,23,3.5
960,7,11,0,0.5
961,7,11,1,0.0
962,7,11,2,0.0
963,7,11,3,0.0
964,7,11,4,0.0
965,7,11,5,0.0
966,7,11,6,0.0
967,7,11,7,0.0
968,7,11,8,0.0
969,7,11,9,2.5
970,7,11,10,13.5
971,7,11,11,6.5
972,7,11,12,1.0
973,7,11,13,0.5
974,7,11,14,0.0
975,7,11,15,0.0
976,7,11,16,0.0
977,7,11,17,0.0
978,7,11,18,0.0
979,7,11,19,0.0
980,7,11,20,0.0
981,7,11,21,0.0
982,7,11,22,0.0
983,7,11,23,0.0
984,7,12,0,0.0
985,7,12,1,5.5
986,7,12,2,0.05
987,7,12,3,0.5
988,7,12,4,0.0
989,7,12,5,0.0
990,7,12,6,0.0
991,7,12,7,0.0
992,7,12,8,0.0
993,7,12,9,0.0
994,7,12,10,0.0
995,7,12,11,0.0
996,7,12,12,0.0
997,7,12,13,0.0
998,7,12,14,0.0
999,7,12,15,0.0
1000,7,12,16,0.0
1001,7,12,17,0.0
1002,7,12,18,0.0
1003,7,12,19,0.0
1004,7,12,20,0.0
1005,7,12,21,0.0
1006,7,12,22,0.0
1007,7,12,23,0.0
1008,7,13,0,0.0
1009,7,13,1,0.0
1010,7,13,2,0.0
1011,7,13,3,0.0
1012,7,13,4,0.0
1013,7,13,5,0.0
1014,7,13,6,0.0
1015,7,13,7,0.05
1016,7,13,8,0.5
1017,7,13,9,0.0
1018,7,13,10,1.5
1019,7,13,11,1.0
1020,7,13,12,0.0
1021,7,13,13,0.0
1022,7,13,14,0.0
1023,7,13,15,0.0
1024,7,13,16,0.0
1025,7,13,17,0.0
1026,7,13,18,0.0
1027,7,13,19,0.0
1028,7,13,20,0.0
1029,7,13,21,0.0
1030,7,13,22,0.0
1031,7,13,23,0.0
1032,7,14,0,0.0
1033,7,14,1,0.0
1034,7,14,2,0.0
1035,7,14,3,0.0
1036,7,14,4,0.0
1037,7,14,5,0.0
1038,7,14,6,0.0
1039,7,14,7,0.0
1040,7,14,8,0.5
1041,7,14,9,0.0
1042,7,14,10,0.0
1043,7,14,11,0.0
1044,7,14,12,0.0
1045,7,14,13,0.0
1046,7,14,14,0.0
1047,7,14,15,0.0
1048,7,14,16,0.0
1049,7,14,17,0.0
1050,7,14,18,0.0
1051,7,14,19,0.0
1052,7,14,20,0.0
1053,7,14,21,0.0
1054,7,14,22,0.0
1055,7,14,23,0.0
1056,7,15,0,0.0
1057,7,15,1,0.0
1058,7,15,2,0.0
1059,7,15,3,0.0
1060,7,15,4,0.0
1061,7,15,5,0.0
1062,7,15,6,0.0
1063,7,15,7,0.0
1064,7,15,8,0.0
1065,7,15,9,0.0
1066,7,15,10,0.0
1067,7,15,11,0.0
1068,7,15,12,0.0
1069,7,15,13,0.0
1070,7,15,14,0.0
1071,7,15,15,0.0
1072,7,15,16,0.0
1073,7,15,17,0.0
1074,7,15,18,0.0
1075,7,15,19,0.0
1076,7,15,20,0.0
1077,7,15,21,0.0
1078,7,15,22,0.0
1079,7,15,23,0.0
1080,7,16,0,0.0
1081,7,16,1,0.0
1082,7,16,2,0.0
1083,7,16,3,0.0
1084,7,16,4,0.0
1085,7,16,5,0.0
1086,7,16,6,0.0
1087,7,16,7,0.0
1088,7,16,8,0.0
1089,7,16,9,0.0
1090,7,16,10,0.0
1091,7,16,11,0.0
1092,7,16,12,0.0
1093,7,16,13,0.0
1094,7,16,14,0.0
1095,7,16,15,0.0
1096,7,16,16,0.0
1097,7,16,17,0.0
1098,7,16,18,0.0
1099,7,16,19,0.0
1100,7,16,20,0.0
1101,7,16,21,0.0
1102,7,16,22,0.0
1103,7,16,23,0.0
1104,7,17,0,0.0
1105,7,17,1,0.0
1106,7,17,2,0.0
1107,7,17,3,0.0
1108,7,17,4,0.0
1109,7,17,5,0.0
1110,7,17,6,0.0
